method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
PCA-Whitening,2048,1024,base_dim_2048.pt,0.2824798177040302,0.3112835578271677,0.3144725265532361,0.3540578192918124,0.3144725265532361,0.3540578192918124,0.2773349145223695,0.3116814245453514,0.2524121199436166,0.2882830739790008,0.3280336846765195,0.3611851687294077,0.25966467455597586,0.2952037059382714,0.36497250070494314,0.3970500090778625
Soft-Whitening,2048,2,base_dim_2048.pt,0.16131900038266628,0.18151434311852252,0.17946921098226185,0.19941247408692328,0.17946921098226185,0.19941247408692328,0.15494760458061593,0.17086063330788726,0.147162826826527,0.17299715441495447,0.20587892595555296,0.23441490558277545,0.15278361195978576,0.17815349044680306,0.23095521469424118,0.2571299472528637
Soft-Whitening,2048,4,base_dim_2048.pt,0.2623151701491485,0.2939352628637816,0.2611692694620737,0.28633369951484805,0.2611692694620737,0.28633369951484805,0.23522216363977655,0.26016307723919924,0.20562688185545513,0.24613435137638867,0.259656729302308,0.2899978042038432,0.2062355530991238,0.24553028640600527,0.2771460009459393,0.30654388156259116
Soft-Whitening,2048,8,base_dim_2048.pt,0.33442627925838947,0.40312597809446726,0.3264826688386474,0.3934391518083898,0.3264826688386474,0.3934391518083898,0.30130451203433134,0.3639406222446844,0.2964471933554015,0.36138945376386455,0.3555021850326088,0.42116951732218216,0.28642110739006194,0.3500789791203087,0.3594202939825064,0.42333193321972207
Soft-Whitening,2048,16,base_dim_2048.pt,0.3910671816914788,0.48424143315225543,0.37893070702965603,0.45254382990603,0.37893070702965603,0.45254382990603,0.354912886401107,0.429221481979306,0.37509645804943914,0.45813632298392115,0.42132893719722886,0.49513816345843437,0.3640946216371433,0.4434726904154287,0.41837004547491674,0.4896627159317312
Soft-Whitening,2048,32,base_dim_2048.pt,0.41197671296278415,0.5019511251033768,0.39836338186948483,0.4759810211670713,0.39836338186948483,0.4759810211670713,0.37529531528913346,0.45266881611931575,0.3909764877565031,0.46900447424220565,0.44602523168698305,0.5064959804078903,0.38469074762708566,0.46282073055463263,0.46073349587884543,0.5235746391394254
Soft-Whitening,2048,64,base_dim_2048.pt,0.4276655057318313,0.514926404546102,0.41983954978546534,0.49589976938727615,0.41983954978546534,0.49589976938727615,0.39267434609077245,0.4705233629409656,0.4177449315541847,0.4944283105397869,0.46588109027842856,0.5346402010933607,0.41245782817238164,0.48947763017254625,0.4858129999080618,0.5540676765725918
Soft-Whitening,2048,128,base_dim_2048.pt,0.4349038363467959,0.5221392937895679,0.43008838334918825,0.5094928532598102,0.43008838334918825,0.5094928532598102,0.40492802485628443,0.48281716194235014,0.4286743060418071,0.5079318778810533,0.4750622161423592,0.5434951397766632,0.42621494865241394,0.5050900426590411,0.5002967065742663,0.5672275346512924
Soft-Whitening,2048,256,base_dim_2048.pt,0.4388613681997531,0.5188572037713328,0.43572659413971093,0.5102437280627348,0.43572659413971093,0.5102437280627348,0.4090385849003128,0.4817698418975909,0.4354810856141329,0.512226289802321,0.4836879949875321,0.5484209877638381,0.43330870779427955,0.5092022938589685,0.5104844503595724,0.5762961694680823
Soft-Whitening,2048,512,base_dim_2048.pt,0.4307061881654796,0.5139143875541461,0.43019573940009637,0.503688908233527,0.43019573940009637,0.503688908233527,0.40251056758403964,0.4770435538998676,0.43307141271920635,0.5081757234408282,0.482409766693897,0.5485602589511247,0.42952287186313287,0.5047004714439262,0.506945604597503,0.5756926048189127
