dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,notes,std_if_available
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Base_mean_pool,3584,"[42, 43, 44]",1000,10000,ndcg@10,39.6737,full dim,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_full,3584,"[42, 43, 44]",1000,10000,ndcg@10,48.6478,m=5,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,56,"[42, 43, 44]",1000,10000,ndcg@10,36.3888,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,56,"[42, 43, 44]",1000,10000,ndcg@10,31.0886,m=5,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,56,"[42, 43, 44]",1000,10000,ndcg@10,52.6478,ncwp_ref,0.3215
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,112,"[42, 43, 44]",1000,10000,ndcg@10,44.5221,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,112,"[42, 43, 44]",1000,10000,ndcg@10,35.0123,m=5,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,112,"[42, 43, 44]",1000,10000,ndcg@10,60.6786,ncwp_ref,0.1415
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,224,"[42, 43, 44]",1000,10000,ndcg@10,51.8897,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,224,"[42, 43, 44]",1000,10000,ndcg@10,37.8642,m=5,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,224,"[42, 43, 44]",1000,10000,ndcg@10,64.1473,ncwp_ref,0.0981
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,PCA_whitening,448,"[42, 43, 44]",1000,10000,ndcg@10,58.2413,,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,448,"[42, 43, 44]",1000,10000,ndcg@10,40.3953,m=5,
quora,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,NCWP_mean_pool,448,"[42, 43, 44]",1000,10000,ndcg@10,66.1072,ncwp_ref,0.0706
