dataset,split,model_nickname,hf_model_id,embedding_type,method,r,fit_size,eval_size,metric_name,metric_value,notes,seed
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,896,2910,1379,spearman_x100,38.8712,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,896,2910,1379,spearman_x100,41.1859,QR of Gaussian,42.0
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,896,2910,1379,spearman_x100,47.1986,m=5,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening_main,896,2910,1379,spearman_x100,56.2593,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,LPP,1792,2910,1379,spearman_x100,40.8079,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Random,1792,2910,1379,spearman_x100,41.3807,QR of Gaussian,42.0
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,ABTT_PCA_r,1792,2910,1379,spearman_x100,48.0288,m=5,
stsb,test,qwen-8b,Qwen/Qwen2-7B,mean_pool,Soft_whitening_main,1792,2910,1379,spearman_x100,57.9216,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Base_mean_pool,4096,2910,1379,spearman_x100,45.888,full dim; sanity check vs existing table,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_full,4096,2910,1379,spearman_x100,56.6516,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,4,2910,1379,spearman_x100,20.1303,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,4,2910,1379,spearman_x100,29.0023,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,4,2910,1379,spearman_x100,29.4861,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,4,2910,1379,spearman_x100,23.3696,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,8,2910,1379,spearman_x100,27.2845,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,8,2910,1379,spearman_x100,39.5199,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,8,2910,1379,spearman_x100,38.2567,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,8,2910,1379,spearman_x100,28.0448,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,16,2910,1379,spearman_x100,33.6997,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,16,2910,1379,spearman_x100,43.0021,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,16,2910,1379,spearman_x100,43.1913,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,16,2910,1379,spearman_x100,38.9541,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,32,2910,1379,spearman_x100,36.9683,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,32,2910,1379,spearman_x100,44.2709,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,32,2910,1379,spearman_x100,45.4264,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,32,2910,1379,spearman_x100,42.4608,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,64,2910,1379,spearman_x100,39.5732,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,64,2910,1379,spearman_x100,48.1328,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,64,2910,1379,spearman_x100,47.8916,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,64,2910,1379,spearman_x100,48.6546,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,128,2910,1379,spearman_x100,41.7378,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,128,2910,1379,spearman_x100,47.1327,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,128,2910,1379,spearman_x100,50.0651,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,128,2910,1379,spearman_x100,52.9143,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,256,2910,1379,spearman_x100,43.3137,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,256,2910,1379,spearman_x100,48.8486,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,256,2910,1379,spearman_x100,51.7158,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,256,2910,1379,spearman_x100,56.1593,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,512,2910,1379,spearman_x100,44.5191,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,512,2910,1379,spearman_x100,49.9877,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,512,2910,1379,spearman_x100,53.1866,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,512,2910,1379,spearman_x100,58.4068,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,1024,2910,1379,spearman_x100,45.8372,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,1024,2910,1379,spearman_x100,49.9201,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,1024,2910,1379,spearman_x100,54.3898,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,1024,2910,1379,spearman_x100,60.4959,eigenvalue shrinkage alpha=0.1 (main-runner formula),
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,LPP,2048,2910,1379,spearman_x100,48.6991,n_neighbors=10 binary affinity ridge=0.001,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Random,2048,2910,1379,spearman_x100,49.8501,QR of Gaussian,42.0
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,ABTT_PCA_r,2048,2910,1379,spearman_x100,55.5323,m=5,
stsb,test,llama-8b,meta-llama/Meta-Llama-3.1-8B,mean_pool,Soft_whitening_main,2048,2910,1379,spearman_x100,62.5461,eigenvalue shrinkage alpha=0.1 (main-runner formula),
