sweep_param,param_value,dim,hp_k,hp_cosine_tau,hp_temperature,hp_lc,hp_lo,hp_lk,ndcg@10,ndcg@100,recall@10,recall@100,map
temperature,0.4,64,10,-2.0,0.4,1.0,1.0,1.0,63.308399654650295,65.9527879190206,71.00284251344216,82.61067077797681,59.858640822933005
λ_contrast,0.1,32,10,-2.0,0.12,1.0,1.0,0.1,47.601462235943764,50.745268790256596,53.64485144201359,68.20888033661741,44.93220371659293
λ_contrast,0.1,64,10,-2.0,0.12,1.0,1.0,0.1,64.08167608600053,66.81748076786745,71.29476215629931,83.27387694680797,60.770415076603456
λ_contrast,0.5,32,10,-2.0,0.12,1.0,1.0,0.5,46.96592138754708,50.00165798716074,53.51211334677549,67.81508860153258,44.10297969589792
λ_contrast,0.5,64,10,-2.0,0.12,1.0,1.0,0.5,63.54958381694114,66.3010625717007,70.71252505312471,82.8448958644325,60.26905684965117
λ_contrast,1.0,32,10,-2.0,0.12,1.0,1.0,1.0,46.8535678027081,49.900252334744025,53.42711334677549,67.7859219348659,43.995534515132256
λ_contrast,1.0,64,10,-2.0,0.12,1.0,1.0,1.0,63.43613869011002,66.17731220307935,70.64835838645804,82.72822919776584,60.146519642666995
λ_contrast,2.0,32,10,-2.0,0.12,1.0,1.0,2.0,46.761943827869395,49.775233301514206,53.36461334677549,67.49425526819923,43.897272308408795
λ_contrast,2.0,64,10,-2.0,0.12,1.0,1.0,2.0,63.432869001840565,66.1760472560396,70.61669171979136,82.73204864221026,60.15489675249871
λ_contrast,5.0,32,10,-2.0,0.12,1.0,1.0,5.0,46.79217014035559,49.79762008202513,53.381280013442165,67.52758860153257,43.92130946075468
λ_contrast,5.0,64,10,-2.0,0.12,1.0,1.0,5.0,63.394632638252865,66.1402016883978,70.54419171979136,82.67351689617854,60.125782023858065
λ_contrast,10.0,32,10,-2.0,0.12,1.0,1.0,10.0,46.78683177365817,49.79022759328109,53.381280013442165,67.52758860153257,43.91163695107985
λ_contrast,10.0,64,10,-2.0,0.12,1.0,1.0,10.0,63.365846381094634,66.11482969442206,70.51919171979137,82.64851689617853,60.09842023360218
λ_cov,0.1,32,10,-2.0,0.12,0.1,1.0,1.0,46.85008829151855,49.86760608740623,53.42711334677549,67.61092193486591,43.98709302930337
λ_cov,0.1,64,10,-2.0,0.12,0.1,1.0,1.0,63.43673694857732,66.1784267957278,70.64835838645804,82.72822919776584,60.147441338168896
λ_cov,0.5,32,10,-2.0,0.12,0.5,1.0,1.0,46.8535678027081,49.90025736047476,53.42711334677549,67.7859219348659,43.995531229322204
λ_cov,0.5,64,10,-2.0,0.12,0.5,1.0,1.0,63.43673694857732,66.17808567636594,70.64835838645804,82.72822919776584,60.14724073409623
