method,base_dim,away_dim,base_weight,nvidia/llama-embed-nemotron-8b_mAP,nvidia/llama-embed-nemotron-8b_nDCG@maxK,qwen3-4b_mAP,qwen3-4b_nDCG@maxK,qwen3-8b_mAP,qwen3-8b_nDCG@maxK,neighbors_union_mAP,neighbors_union_nDCG@maxK,U2_mAP,U2_nDCG@maxK,U3_mAP,U3_nDCG@maxK,overlap2_mAP,overlap2_nDCG@maxK,overlap3_mAP,overlap3_nDCG@maxK
Soft-Whitening,2048,1024,base_dim_2048.pt,0.3994185105139064,0.4883025472584848,0.39854505120153294,0.481099007714453,0.39854505120153294,0.481099007714453,0.37262176493387245,0.4546420499535154,0.42231682923671143,0.5021800718198245,0.4519491697194556,0.5308866249841078,0.4256555555478482,0.5022801661243517,0.4849487132909912,0.5601403610351329
NCWP,2048,2,base_dim_2048.pt,0.10683000255845158,0.11436780536528543,0.10418684297802176,0.11756403771388546,0.10418684297802176,0.11756403771388546,0.09631150782223295,0.10723221931926914,0.10267780570081086,0.11431991498124101,0.14073368924466234,0.1499458550471737,0.10946737541111068,0.12121099245777163,0.16424705224745167,0.17552462115350798
NCWP,2048,4,base_dim_2048.pt,0.15944645881805317,0.16710301127465643,0.14106330378126863,0.1515719482110252,0.14106330378126863,0.1515719482110252,0.1436032511383448,0.15144404659295704,0.1294503876297332,0.14149944145380133,0.18510103263230904,0.19347650536970293,0.13983980843420185,0.1530758321030248,0.21883185253729065,0.23034538427656498
NCWP,2048,8,base_dim_2048.pt,0.1589305439836971,0.18492798459263907,0.1735020149361107,0.20488853155110834,0.1735020149361107,0.20488853155110834,0.15524951965735118,0.18154684328130105,0.19377529227596446,0.22549086609416485,0.24393132183512256,0.2662049195330374,0.1992571288317564,0.23123541425963506,0.27522046193234284,0.30039391668009513
NCWP,2048,16,base_dim_2048.pt,0.3128897123280682,0.35336559304664433,0.3137655077915373,0.3599004198578251,0.3137655077915373,0.3599004198578251,0.28785862643681887,0.3287145892239069,0.28342315186996053,0.336362644322187,0.35925667018570917,0.40799315796005275,0.29354473607259346,0.3467005446544156,0.4058019693874701,0.4586758214899308
NCWP,2048,32,base_dim_2048.pt,0.31750128489262003,0.39364980276805234,0.3300739490526648,0.3992901997045597,0.3300739490526648,0.3992901997045597,0.3082432505951416,0.3779855078917808,0.34648620117047835,0.4148683990917335,0.39507321031206344,0.47157038295080944,0.35330869515551927,0.4196942224034904,0.437491241754314,0.5132346815060845
NCWP,2048,64,base_dim_2048.pt,0.3535258051774196,0.42475853998615254,0.3629802166477178,0.44168135775444023,0.3629802166477178,0.44168135775444023,0.3435373666986077,0.41350325440313196,0.3799492851343498,0.4519116524757271,0.4403737757888114,0.5159303691627612,0.38898858027589495,0.45733904699903927,0.4827759435045337,0.5580643127384074
NCWP,2048,128,base_dim_2048.pt,0.4089431488779149,0.5042574530662233,0.4034915166128112,0.4879499163541481,0.4034915166128112,0.4879499163541481,0.38344779637504617,0.4692665342484003,0.42164804708867304,0.5033833186234314,0.47063013121138325,0.5604693518141612,0.43412115457795314,0.5121952871637502,0.5115564510203218,0.6023689498713221
NCWP,2048,256,base_dim_2048.pt,0.3947637291486513,0.4920612163293901,0.40898338274199714,0.49645511974153955,0.40898338274199714,0.49645511974153955,0.381468200838909,0.4671737703822181,0.4311617986496399,0.512116913031625,0.47629196644988636,0.5635560074131504,0.4422192374619504,0.5212623482009129,0.5231834747421019,0.6133807010009371
NCWP,2048,512,base_dim_2048.pt,0.4040867238067486,0.5046943952720166,0.4054732275450128,0.49077751719913115,0.4054732275450128,0.49077751719913115,0.3922486281247959,0.4808808178495061,0.4487630206222309,0.5279822358622922,0.5010383383700037,0.5864160036657374,0.4576918288374063,0.5339227776213857,0.5473558258085506,0.6330578362587738
NCWP,2048,1024,base_dim_2048.pt,0.4207337819934695,0.515345247374528,0.4245487901598047,0.5041874139126522,0.4245487901598047,0.5041874139126522,0.4059970113349602,0.4892927355536431,0.45703339668596127,0.5361275208004946,0.4966415765609352,0.5811701691514926,0.46618043314469854,0.5436535476008119,0.5419173310878543,0.6279813962807762
LPP,2048,2,base_dim_2048.pt,0.16111179189524716,0.17247321322757062,0.1559303949626242,0.16698067036689948,0.1559303949626242,0.16698067036689948,0.14225171099294168,0.1518287831152132,0.13044946099289412,0.14680464530325593,0.17623729161394242,0.19555553446032845,0.1358769505545354,0.1497698163838979,0.2001856378987879,0.2145919404279976
LPP,2048,4,base_dim_2048.pt,0.2433647574281129,0.28767128771082523,0.23037644408158978,0.2730755698559835,0.23037644408158978,0.2730755698559835,0.2234373160964059,0.2613089430200997,0.23015562135528758,0.2784436848985526,0.2928849992825575,0.3363018172237771,0.23397051900128243,0.2794417254163299,0.3194479404109527,0.3605204734305142
LPP,2048,8,base_dim_2048.pt,0.3022952631916119,0.36695915235928234,0.2919212139781035,0.3598586689423103,0.2919212139781035,0.3598586689423103,0.271992014709164,0.3324537677680671,0.29610506535777414,0.3631552350652389,0.33132804513599406,0.3910298715287114,0.2985519549686489,0.3603553825596916,0.3520600193991876,0.40446829598659395
LPP,2048,16,base_dim_2048.pt,0.31745417786525404,0.3893713644024598,0.3089298740739266,0.38175805532195206,0.3089298740739266,0.38175805532195206,0.2846194873523156,0.35155816331768985,0.3079235101349142,0.376639680273733,0.3401001217544426,0.4064892897250054,0.31009737936608717,0.37409584492374764,0.3593389228781748,0.42103504110616463
LPP,2048,32,base_dim_2048.pt,0.32640753247263404,0.4017743942439827,0.3159757196285383,0.3905216184627958,0.3159757196285383,0.3905216184627958,0.2923097006940947,0.35882817852767734,0.31613174943992295,0.386955484202761,0.34930714903955995,0.42136801088650366,0.31942404500356947,0.3855523321790308,0.3735051557229355,0.4407896011074998
LPP,2048,64,base_dim_2048.pt,0.3285895089265955,0.39855140743854583,0.32037581821786426,0.39307523001075567,0.32037581821786426,0.39307523001075567,0.29486501449731567,0.35908818598567077,0.3189131492387232,0.38934986537015087,0.3526302656899613,0.4220219592012009,0.3216231009456072,0.38728477561544195,0.37491718432616983,0.43930635336493223
LPP,2048,128,base_dim_2048.pt,0.3272967201850118,0.4014554330709836,0.31977909282190625,0.39346951443725503,0.31977909282190625,0.39346951443725503,0.2943835688482629,0.3619919887915275,0.3197070534362194,0.3916383556896731,0.35140605416697057,0.42206033650274555,0.322897052541558,0.3902616316307437,0.37563010599562857,0.44142444309663326
LPP,2048,256,base_dim_2048.pt,0.3279645607922475,0.40209119676968785,0.3204314015205439,0.3940223408111455,0.3204314015205439,0.3940223408111455,0.2950285740026596,0.3625552531210813,0.32064449250831917,0.3929205918795496,0.3524550343933538,0.42254582602054724,0.32421642484253016,0.3919377502678951,0.37686281840677543,0.44207940647916316
LPP,2048,512,base_dim_2048.pt,0.32852543754896907,0.40252509529284475,0.3209650354726537,0.394460578319534,0.3209650354726537,0.394460578319534,0.2955258070277245,0.36293967198808874,0.32206088582704223,0.39319961744673243,0.35413826021429384,0.42345207857908485,0.3256431760007172,0.39213627976511634,0.37875196437496195,0.44308810497910067
LPP,2048,1024,base_dim_2048.pt,0.328334004258697,0.40230786836366705,0.32249982520207837,0.3951616350325242,0.32249982520207837,0.3951616350325242,0.296865412166607,0.36355463401702753,0.3224815021824344,0.3949933081216892,0.35542910977940134,0.426544504606124,0.3254931626998508,0.3935621863506797,0.37970824697480554,0.44621598798147644
Random Projection,2048,2,base_dim_2048.pt,0.12562270750089602,0.1456102488344697,0.11411725348675444,0.1286847002524769,0.11411725348675444,0.1286847002524769,0.11399375569051007,0.12929318889278144,0.12796747241201176,0.15184167940582846,0.16501525051322027,0.1851868844241447,0.13426006190347348,0.15705337977174577,0.1887494426071072,0.20676579159044103
Random Projection,2048,4,base_dim_2048.pt,0.21148636536371201,0.24436027437479732,0.2090928680826699,0.24583516179320575,0.2090928680826699,0.24583516179320575,0.19661879996011494,0.23152757336836782,0.22961464292953726,0.27467307773486166,0.27781717142419904,0.32116777766127713,0.2368027376200826,0.2828751359770484,0.30488298490157684,0.35391609919868433
Random Projection,2048,8,base_dim_2048.pt,0.28762477612331844,0.3286468334859875,0.2849744161559574,0.3276527584997497,0.2849744161559574,0.3276527584997497,0.2572717218393563,0.2965890058742006,0.2765556125746757,0.3237254835636251,0.3171531023366623,0.3614436050314855,0.2807646868589162,0.32500179368701254,0.3493950102498285,0.3864631249185961
Random Projection,2048,16,base_dim_2048.pt,0.34212418912925446,0.39864748295836183,0.31112060244438505,0.36548260491922413,0.31112060244438505,0.36548260491922413,0.28974109282449506,0.33749688149270124,0.3375462814833353,0.39647261812141565,0.37469728844830924,0.43173818588869584,0.3392007000143376,0.394519021252697,0.3946929161945313,0.4439960568304714
Random Projection,2048,32,base_dim_2048.pt,0.3127133068741165,0.3655962570872492,0.29994480901851284,0.3547122456449474,0.29994480901851284,0.3547122456449474,0.27795715085493855,0.32658812787545743,0.29634571255450415,0.35718093045958305,0.332604866938877,0.3904142537097349,0.3005145326552924,0.359960440344651,0.360226372570652,0.41388265396551777
Random Projection,2048,64,base_dim_2048.pt,0.3145000271141097,0.38405756930460117,0.3077556207001737,0.37167035258747755,0.3077556207001737,0.37167035258747755,0.2813711667960831,0.34388694485674415,0.3098532599483974,0.3764093282480535,0.3405345685104917,0.3999467811598759,0.3114662833648453,0.3761488897052083,0.3647223477084275,0.42081751364274933
Random Projection,2048,128,base_dim_2048.pt,0.3264142480344157,0.39345818570291946,0.31861229406605573,0.3884521329584678,0.31861229406605573,0.3884521329584678,0.29376063619134074,0.3547543361540315,0.32115282675635415,0.39747294505539926,0.3537152822227062,0.4326450848675391,0.32373316732405316,0.39669725303400283,0.3782113640561039,0.45251274482557896
Random Projection,2048,256,base_dim_2048.pt,0.3374845722059424,0.4033677729443492,0.329867928690458,0.4021410341426114,0.329867928690458,0.4021410341426114,0.30670847840782745,0.3700857980567186,0.33322806815733097,0.40392160331195676,0.36728033697724505,0.43922465471299904,0.33740189196496256,0.40352089365307764,0.39423680132712213,0.4613165896019042
Random Projection,2048,512,base_dim_2048.pt,0.32965123838222804,0.4031385543647366,0.32462850356425854,0.40045427484397,0.32462850356425854,0.40045427484397,0.30000249517440647,0.3689699502871232,0.325688721239103,0.3938045053658155,0.35967915591844285,0.43435597978350765,0.3268974317975326,0.3911547791486169,0.3830585532918368,0.45370097822103
Random Projection,2048,1024,base_dim_2048.pt,0.3351812527133543,0.40825904211790887,0.3269167479628109,0.40303352651099594,0.3269167479628109,0.40303352651099594,0.3040555663631037,0.3727009629380525,0.32690125783614415,0.40348753196193493,0.36156322862686896,0.43731562552162023,0.3288108266403965,0.40148230908723664,0.38645986825656237,0.45754199293213327
